correct_ans,question
○,"公路長隧道為一種特殊空間，呈現密閉化、地下化等特性，發生火災時其溫度往往超過 1,000℃，若發生事故，可能引發重大災害。","法規選擇題第055題,事故預防及處理(預防國道二次事故、急救常識)"
○,長隧道內禁止載運危險物品、超長、超寬、超高、及超重汽車行駛。,"法規選擇題第056題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車行駛於隧道內，不得從車內向外拋擲物品。,"法規選擇題第057題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車行駛於隧道內，禁止任意變換車道。,"法規選擇題第058題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車行駛於長隧道內，中途嚴禁停車添加燃油。,"法規選擇題第059題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車進入隧道內，因隧道內光線較為昏暗，應開亮頭燈。,"法規選擇題第060題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車在隧道內遇事故時，儘可能將汽車停放於路邊設置之緊急停車彎，並開啟危險警告燈。,"法規選擇題第061題,事故預防及處理(預防國道二次事故、急救常識)"
○,若汽車因故停滯於長隧道內，而導致空氣品質不佳或有害氣體濃度過高時，用路人應暫時將座車熄火，以減少廢氣產生。,"法規選擇題第062題,事故預防及處理(預防國道二次事故、急救常識)"
○,行經長隧道內若遇火災，應保持鎮定，車輛立即向隧道兩側停靠，讓出通道以利救災車輛進入。,"法規選擇題第063題,事故預防及處理(預防國道二次事故、急救常識)"
○,行駛於長隧道內若發生火災時，應熄火停車，所有人員攜帶貴重物品下車，鑰匙留置車內，並不得上鎖，以便搶救人員移置車輛。,"法規選擇題第064題,事故預防及處理(預防國道二次事故、急救常識)"
○,汽車行駛於長隧道遇發生火災時，為降低火災產生黑煙之危害，逃生時應儘量降低身形，往車行反方向疏散。,"法規選擇題第065題,事故預防及處理(預防國道二次事故、急救常識)"
○,癲癇疾病患者，檢具醫療院所醫師出具最近二年以上未發作診斷證明書者，得報考機車及普通小型車駕照。,"法規選擇題第066題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,酒精、 麻醉劑或興奮劑中毒者，不得參加駕駛執照考驗。,"法規選擇題第067題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,小型貨車裝載貨物，由地面算起，高度不得超過 2.85公尺。,"法規選擇題第068題,貨物裝載(防止掉落或滲漏)"
X,小型貨車裝載貨物，由地面算起，高度不得超過 3公尺。,"法規選擇題第069題,貨物裝載(防止掉落或滲漏)"
○,裝載容易滲漏、飛散或有惡臭氣味之貨物，能防止其發洩者，應嚴密封固並有適當之裝置。,"法規選擇題第070題,貨物裝載(防止掉落或滲漏)"
○,汽車車廂以外不得載人。,"法規選擇題第071題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,駕駛執照考驗，路考 70分及格。,"法規選擇題第072題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車不得有車身破損、鬆動或車門不能關閉的情形。,"法規選擇題第073題,行車檢查(設備、燈光)"
○,汽車非經公路監理機關核准，不得擅自附掛拖車行駛。,"法規選擇題第074題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,加強道路交通管理，維護交通秩序，是確保交通安全之要務。,"法規選擇題第075題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,標誌是指管制道路交通，表示警告、禁制、指示，而在路面上勘劃之線條或文字。,"法規選擇題第076題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車所有人、駕駛人，接獲違反道路交通管理事件通知單後，於 30日內得不經裁決，逕依罰鍰基準規定，向指定處所繳納結案。,"法規選擇題第077題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,已領有大貨車駕駛執照者，得駕駛曳引車及小型車。,"法規選擇題第078題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,受終身不得考領駕駛執照之處分者，不得參加駕駛執照考驗。但符合特定條件，且所受吊銷駕駛執照處分，執行已逾相關規定期間者，不在此限。,"法規選擇題第079題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車在同一車道行駛時，後車駕駛人須隨時注意前車之動向，並應與前車保持隨時可以煞停之距離。,"法規選擇題第080題,行駛中應注意事項(保持安全車距、注意前車狀況)"
○,領有駕駛執照之駕駛人，在駕照有效期間內，得憑原照換領同等車類之國際駕駛執照。,"法規選擇題第081題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,特種車除因其專門用途使用時必須附載之人員物品外，不得用以裝載客貨行駛。,"法規選擇題第082題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,駕駛執照失效，應即繳回當地公路監理機關。,"法規選擇題第083題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,駕駛人死亡時，應由關係人將駕駛執照繳回當地公路監理機關。,"法規選擇題第084題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,裝載貨物，應捆紮牢固，堆放平穩。,"法規選擇題第085題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,不依規定或利用不正當手段考領之駕駛執照，公路監理機關即行註銷並追繳之。,"法規選擇題第086題,貨物裝載(防止掉落或滲漏)"
○,領有互惠國發給之國際駕駛執照，在有效期間內，在我國境內停留超過30天以上者，須向監理機關辦理簽證後，始可駕車。,"法規選擇題第087題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車所有人明知駕駛人有酒精濃度超過規定標準、吸食毒品、迷幻藥等而不予禁止駕駛者，除處罰鍰外，並吊扣該汽車牌照 2年。,"法規選擇題第088題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車駕駛人，連續駕車超過 8小時，如應歸責於汽車所有人者，吊扣其汽車牌照 3個月。,"法規選擇題第089題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,在開車前，不必檢查機件，以免耽誤行車時間。,"法規選擇題第090題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,汽車喇叭音量不可過高，應遵守規定限制。,"法規選擇題第091題,行車檢查(設備、燈光)"
○,汽車按鳴喇叭，應以單響為原則。,"法規選擇題第092題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,駕駛執照，是由駕駛人向公路監理機關，申請登記考驗及格後發給。,"法規選擇題第093題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,抗拒執行交通勤務之警察，或依法執行交通稽查人員之稽查取締，因而引起傷害或死亡者，除罰鍰及吊銷駕照外，並終身不得再考領駕照。但符合特定條件，且所受吊銷駕駛執照處分，執行已逾相關規定期間者，不在此限。,"法規選擇題第094題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,駕駛執照遺失或損毀時，應向公路監理機關申辦補發或換發。,"法規選擇題第095題,貨物裝載(防止掉落或滲漏)"
○,裝載危險性之物品，停車時應停在空曠陰涼場所，並須與其他車輛隔離，裝箱外面應粘貼顯明之危險品標籤。,"法規選擇題第096題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,客車上下旅客，應緊靠路邊右側，並不得妨礙行車路線。,"法規選擇題第097題,貨物裝載(防止掉落或滲漏)"
○,在峻狹坡路，下坡車未讓上坡車先行，或上坡車在坡下未讓已駛至中途之下坡車駛過而爭先上坡，或在山路行車，靠山壁車未讓道路外緣車優先通過者，均處以罰鍰。,"法規選擇題第098題,行駛中應注意事項(保持安全車距、注意前車狀況)"
○,小客車座位包括駕駛人在內為 9座以下。,"法規選擇題第099題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,職業駕駛執照，應自發照之日起，每滿兩年審驗 1次。,"法規選擇題第100題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,制定道路交通管理處罰條例是為了要加強道路交通管理，維護交通秩序，確保交通安全。,"法規選擇題第101題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,人行天橋及人行地下道、行人穿越道等，非不得已才供行人通行。,"法規選擇題第102題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,交通標誌及標線，是表示警告、禁制、指示等功效。,"法規選擇題第103題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車駕駛人駕車肇事，無人受傷或死亡，應依規定處置，若逃逸者，除處罰鍰外，並吊扣其駕駛執照。,"法規選擇題第104題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,駕駛人除應遵守交通標誌標線及號誌之指示外，並應服從交通警察或依法令執行交通稽查任務人員之指揮。,"法規選擇題第105題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,報廢登記之汽車仍行駛者，處汽車所有人罰鍰，並禁止其行駛，車輛並沒入之。,"法規選擇題第106題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車駕駛人允許無駕照之人駕駛其車輛者，吊扣其駕駛執照。,"法規選擇題第107題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,駕車不依規定通過行人穿越道，致使行人傷亡時，依法應負刑責者加重其刑至二分之一。,"法規選擇題第108題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,檢舉汽車肇事或協助救護肇事受傷者，以及優良駕駛人，政府均訂有獎勵辦法。,"法規選擇題第109題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車駕駛人駕車肇事，致人重傷或死亡而逃逸者，吊銷其駕駛執照，並不得再考領。但符合特定條件，且所受吊銷駕駛執照處分，執行已逾相關規定期間者，不在此限。,"法規選擇題第110題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,貨車駕駛室或小客車前座，裝載人數並無限制。,"法規選擇題第111題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,駕車闖紅燈因而肇事致人重傷者，無須吊扣其駕照。,"法規選擇題第112題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,汽車駕駛人駕車肇事，無人受傷或死亡應依規定處理，逃逸者，除處罰鍰並吊銷其駕駛執照。,"法規選擇題第113題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,"汽車行駛於高速公路、快速公路或設站管制之道路，未依規定保持安全距離，處汽車駕駛人新臺幣 3,000~6,000元之罰鍰。","法規選擇題第114題,行駛中應注意事項(保持安全車距、注意前車狀況)"
X,低於最低規定時速行駛時，不算違規。,"法規選擇題第115題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,駕駛執照考驗，交通規則及格標準為 90分。,"法規選擇題第116題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,曾違反兒童及少年性交易防制條例或槍砲彈藥刀械管制條例等相關法律，經判刑確定或曾依檢肅流氓條例裁定應為交付感訓確定者，不得辦理計程車駕駛人執業登記。,"法規選擇題第117題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,駕駛執照，可以借供他人使用。,"法規選擇題第118題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,學習駕駛證，可以學習駕駛大客車。,"法規選擇題第119題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,貨車裝載貨物寬度，可以超出車身半公尺。,"法規選擇題第120題,貨物裝載(防止掉落或滲漏)"
○,汽車駕駛人不得連續駕車超過 8小時。,"法規選擇題第121題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,領有大客車駕照者，可以駕駛聯結車。,"法規選擇題第122題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車駕駛人駕車，違反道路交通安全規則，因而肇事致人重傷者，吊扣其駕駛執照。,"法規選擇題第123題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車行駛應繳費之公路橋樑逃避繳費，並有傷害收費人員之情事者，應吊銷駕照。,"法規選擇題第124題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車駕駛人在快車道依規定駕車行駛，因行人或慢車不依規定，擅自進入快車道，而致人受傷或死亡，依法應負刑事責任者，減輕其刑。,"法規選擇題第125題,行駛中應注意事項(保持安全車距、注意前車狀況)"
X,駕駛人酒精濃度超過規定標準，駕車肇事致人重傷或死亡者，吊銷駕照並停考1 年。,"法規選擇題第126題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,小貨車必須附載隨車作業人員者，除駕駛人外，不得超過 2人。,"法規選擇題第127題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,利用汽車犯罪，經判決有期徒刑以上之刑確定者，吊銷其駕照終身不得再考領駕照。但符合特定條件，且所受吊銷駕駛執照處分，執行已逾相關規定期間者，不在此限。,"法規選擇題第128題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,貨車裝載貨物長度，可以前伸超過車頭 2公尺。,"法規選擇題第129題,貨物裝載(防止掉落或滲漏)"
X,廂式貨車裝載貨物，長寬均可超出車廂 30公分。,"法規選擇題第130題,貨物裝載(防止掉落或滲漏)"
○,框式貨車，除裝載貨物有伸後情形外，車身欄板必須扣牢。,"法規選擇題第131題,貨物裝載(防止掉落或滲漏)"
X,受永遠吊銷、吊扣駕照之處分者，受違規再教育 1個月，即可參加駕照考驗。,"法規選擇題第132題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,受吊銷、吊扣駕駛執照處分，尚未屆滿限制報考期限者，不得參加駕照考驗。,"法規選擇題第133題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,受吊銷、吊扣駕照處分，尚未屆滿限制報考期限者，繳罰鍰後即可參加駕照考驗。,"法規選擇題第134題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,汽車駕駛人在 1年內，違規記點共達 6點以上者，應施以道路交通安全講習。,"法規選擇題第135題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,體格檢查、體能測驗與筆試及格成績有效保留期限均為 1年。,"法規選擇題第136題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車右轉彎時，應先顯示前後右邊方向燈，或由駕駛人作左臂向上手掌向右微曲之手勢。,"法規選擇題第137題,轉彎(左右轉、迴轉)"
○,按鳴喇叭，以單響為原則，每次不得超過半秒鐘。,"法規選擇題第138題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,行經設有彎道、隧道、坡路、狹路、學校、醫院標誌之路段、泥濘或積水道路、 道路施工路段，均應減速慢行，作隨時停車之準備。,"法規選擇題第139題,行駛中應注意事項(保持安全車距、注意前車狀況)"
X,夜間會車，應用遠光燈。,"法規選擇題第140題,正確使用燈光(頭燈、霧燈、方向燈)"
○,聞有消防車、救護車、警備車、工程救險車、毒性化學物質災害事故應變車等之警號時，不論來自何方，均應立即避讓，並不得在後跟隨急駛。,"法規選擇題第141題,行駛中應注意事項(保持安全車距、注意前車狀況)"
X,汽車駕駛人行經多車道之圓環，可以不讓內側車道之車輛先行。,"法規選擇題第142題,路口安全(有號誌路口、無號誌路口、停讓行人)"
X,汽車在雙向二車道行駛時，在劃有分向限制線之路段，可以在該路段駛入對方來車之車道內。,"法規選擇題第143題,行駛中應注意事項(保持安全車距、注意前車狀況)"
○,汽車行駛於雙向二車道，在劃有行車分向線之路段，超車時得駛越，但不能並行競駛。,"法規選擇題第144題,行駛中應注意事項(保持安全車距、注意前車狀況)"
X,行車速度，依速限標誌或標線之規定，無標誌或標線者，行車時速不得超過40公里。但在未劃設車道線、行車分向線或分向限制線之道路，或設有快慢車道分隔線之慢車道，時速不得超過 30公里。,"法規選擇題第145題,行駛中應注意事項(保持安全車距、注意前車狀況)"
○,行車速度，依速限標誌或標線之規定，無標誌或標線者，行車時速不得超過50公里。但在設有快慢車道分隔線之慢車道，時速不得超過40公里。,"法規選擇題第146題,行駛中應注意事項(保持安全車距、注意前車狀況)"
X,汽車行至交通頻繁地區，為了行車安全，可以隨時按鳴喇叭。,"法規選擇題第147題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,遇幼童專用車、校車、身心障礙者用特製車或教練車，不必禮讓。,"法規選擇題第148題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,臨時停車，係指停車未滿 3分鐘，並保持立即行駛狀態。,"法規選擇題第149題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,汽車行駛至交岔路口，其行進轉彎，遇有交通指揮人員之指揮與燈光號誌並用時，以交通指揮人員之指揮為準。,"法規選擇題第150題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,駕車起駛時，應讓行進中之車輛、行人優先通行。,"法規選擇題第151題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,行人穿越道是指在道路上以枕木紋或斑馬紋之標線標劃，供行人穿越道路之地方。,"法規選擇題第152題,路口安全(有號誌路口、無號誌路口、停讓行人)"
X,"汽車駕駛人行駛於道路時，以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為者，處新臺幣 1,000元罰鍰。","法規選擇題第153題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,駕駛人精神疲勞、疾病或睡眠不足，注意力分散不易集中，不得駕駛車輛。,"法規選擇題第154題,禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,停於路邊之車輛遇有霧靄、雨雪、風沙及晝晦時，均應顯示停車燈光或反光標識。,"法規選擇題第155題,正確使用燈光(頭燈、霧燈、方向燈)"
○,汽車在同一車道行駛時，除擬超越前車外，後車與前車之間，應保持隨時可以煞停之距離。,"法規選擇題第156題,行駛中應注意事項(保持安全車距、注意前車狀況)"
○,在山路行車交會時，靠山壁車輛，應讓道路外緣車優先通過。,"法規選擇題第157題,行駛中應注意事項(保持安全車距、注意前車狀況)"
○,超車時，應顯示左方向燈，並於前車左邊保持半公尺以上之間隔超過，行至安全距離後，再顯示右方向燈駛入原行路線。,"法規選擇題第158題,正確使用燈光(頭燈、霧燈、方向燈)"
○,汽車行至無號誌或號誌故障而無交通指揮人員指揮之交岔路口，未劃分幹、支線道，且車道數相同時，如同為直行車或轉彎車者，左方車應暫停，讓右方車先行。,"法規選擇題第159題,路口安全(有號誌路口、無號誌路口、停讓行人)"
○,計程車在設有停車上客處標誌之路段，應在指定之上客處搭載乘客，不得沿途攬載。,"法規選擇題第160題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,計程車不得任意拒載乘客，但可以故意繞道行駛。,"法規選擇題第161題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,行車時行車執照、 駕駛執照及其他法定證件，均須隨身攜帶。,"法規選擇題第162題,其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,行車不必攜帶隨車工具。,"法規選擇題第163題,行車檢查(設備、燈光)"
X,行車起駛前進，不必顯示方向燈。,"法規選擇題第164題,正確使用燈光(頭燈、霧燈、方向燈)"
