correct_ans,question,comment,has_image,image_path
X,停車再開,.\src\sign-OX.files\image046,"法規選擇題第 046 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,禁止超車,.\src\sign-OX.files\image047,"法規選擇題第 047 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,禁止會車,.\src\sign-OX.files\image048,"法規選擇題第 048 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,最低速限,.\src\sign-OX.files\image049,"法規選擇題第 049 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,最高速限,.\src\sign-OX.files\image050,"法規選擇題第 050 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,當心身心障礙者,.\src\sign-OX.files\image051,"法規選擇題第 051 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,當心兒童,.\src\sign-OX.files\image052,"法規選擇題第 052 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,禁止臨時停車,.\src\sign-OX.files\image053,"法規選擇題第 053 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,禁止停車,.\src\sign-OX.files\image054,"法規選擇題第 054 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,專行車輛（大客車專行）,.\src\sign-OX.files\image055,"法規選擇題第 055 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,車輛長度限制,.\src\sign-OX.files\image056,"法規選擇題第 056 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,車輛寬度限制,.\src\sign-OX.files\image057,"法規選擇題第 057 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,車輛長度限制,.\src\sign-OX.files\image058,"法規選擇題第 058 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,停車檢查,.\src\sign-OX.files\image059,"法規選擇題第 059 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,車輛總重限制,.\src\sign-OX.files\image060,"法規選擇題第 060 題,分類06|貨物裝載(防止掉落或滲漏)"
○,禁止空計程車進入,.\src\sign-OX.files\image061,"法規選擇題第 061 題,分類08|禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,禁止汽車進入,.\src\sign-OX.files\image062,"法規選擇題第 062 題,分類08|禁止不當行為(酒駕、不使用手機、危險駕駛)"
○,禁止任何車輛進入,.\src\sign-OX.files\image063,"法規選擇題第 063 題,分類08|禁止不當行為(酒駕、不使用手機、危險駕駛)"
X,此路不通,.\src\sign-OX.files\image064,"法規選擇題第 064 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,路面低窪,.\src\sign-OX.files\image065,"法規選擇題第 065 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,路面顛簸,.\src\sign-OX.files\image066,"法規選擇題第 066 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,注意號誌,.\src\sign-OX.files\image067,"法規選擇題第 067 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,行車管制號誌,.\src\sign-OX.files\image068,"法規選擇題第 068 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,路面高突,.\src\sign-OX.files\image069,"法規選擇題第 069 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,路面顛簸,.\src\sign-OX.files\image070,"法規選擇題第 070 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,遵行方向,.\src\sign-OX.files\image071,"法規選擇題第 071 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,單行道,.\src\sign-OX.files\image072,"法規選擇題第 072 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,遵行方向,.\src\sign-OX.files\image073,"法規選擇題第 073 題,分類02|轉彎(左右轉、迴轉)"
X,分道,.\src\sign-OX.files\image074,"法規選擇題第 074 題,分類02|轉彎(左右轉、迴轉)"
○,救護站,.\src\sign-OX.files\image075,"法規選擇題第 075 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,醫院,.\src\sign-OX.files\image076,"法規選擇題第 076 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,連續彎路先向左,.\src\sign-OX.files\image077,"法規選擇題第 077 題,分類02|轉彎(左右轉、迴轉)"
X,連續彎路先向右,.\src\sign-OX.files\image078,"法規選擇題第 078 題,分類02|轉彎(左右轉、迴轉)"
○,岔路,.\src\sign-OX.files\image079,"法規選擇題第 079 題,分類02|轉彎(左右轉、迴轉)"
X,此路不通,.\src\sign-OX.files\image080,"法規選擇題第 080 題,分類02|轉彎(左右轉、迴轉)"
○,遵行方向,.\src\sign-OX.files\image081,"法規選擇題第 081 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,單行道,.\src\sign-OX.files\image082,"法規選擇題第 082 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,右轉方向,.\src\sign-OX.files\image083,"法規選擇題第 083 題,分類02|轉彎(左右轉、迴轉)"
X,遵行方向,.\src\sign-OX.files\image084,"法規選擇題第 084 題,分類02|轉彎(左右轉、迴轉)"
○,避車彎,.\src\sign-OX.files\image085,"法規選擇題第 085 題,分類07|事故預防及處理(預防國道二次事故、急救常識)"
X,狹路,.\src\sign-OX.files\image086,"法規選擇題第 086 題,分類07|事故預防及處理(預防國道二次事故、急救常識)"
○,靠右行駛,.\src\sign-OX.files\image087,"法規選擇題第 087 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,靠左行駛,.\src\sign-OX.files\image088,"法規選擇題第 088 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,單行道,.\src\sign-OX.files\image089,"法規選擇題第 089 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,遵行方向,.\src\sign-OX.files\image090,"法規選擇題第 090 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,省道路線編號,.\src\sign-OX.files\image091,"法規選擇題第 091 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,國道路線編號,.\src\sign-OX.files\image092,"法規選擇題第 092 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,市、縣道路線編號,.\src\sign-OX.files\image093,"法規選擇題第 093 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,省道路線編號,.\src\sign-OX.files\image094,"法規選擇題第 094 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,國道路線編號,.\src\sign-OX.files\image095,"法規選擇題第 095 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,省道路線編號,.\src\sign-OX.files\image096,"法規選擇題第 096 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,分道,.\src\sign-OX.files\image097,"法規選擇題第 097 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,岔路,.\src\sign-OX.files\image098,"法規選擇題第 098 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,禁止會車,.\src\sign-OX.files\image099,"法規選擇題第 099 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,雙向道,.\src\sign-OX.files\image100,"法規選擇題第 100 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,右側車道路寬縮減,.\src\sign-OX.files\image101,"法規選擇題第 101 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,左側車道路寬縮減,.\src\sign-OX.files\image102,"法規選擇題第 102 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,左側車道路寬縮減,.\src\sign-OX.files\image103,"法規選擇題第 103 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,右側車道路寬縮減,.\src\sign-OX.files\image104,"法規選擇題第 104 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,特種閃光「黃燈」號誌,.\src\sign-OX.files\image105,"法規選擇題第 105 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,行車管制號誌,.\src\sign-OX.files\image106,"法規選擇題第 106 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,行人專用號誌,.\src\sign-OX.files\image107,"法規選擇題第 107 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,當心行人,.\src\sign-OX.files\image108,"法規選擇題第 108 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,行人穿越道號誌,.\src\sign-OX.files\image109,"法規選擇題第 109 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,行車管制號誌,.\src\sign-OX.files\image110,"法規選擇題第 110 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,雙線以上電化鐵路平交道,.\src\sign-OX.files\image111,"法規選擇題第 111 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,雙線以上鐵路平交道,.\src\sign-OX.files\image112,"法規選擇題第 112 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,特種閃光「紅燈」號誌,.\src\sign-OX.files\image113,"法規選擇題第 113 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,行車管制號誌,.\src\sign-OX.files\image114,"法規選擇題第 114 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,行車管制號誌,.\src\sign-OX.files\image115,"法規選擇題第 115 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,行人專用號誌,.\src\sign-OX.files\image116,"法規選擇題第 116 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,人行天橋,.\src\sign-OX.files\image117,"法規選擇題第 117 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,人行地下道,.\src\sign-OX.files\image118,"法規選擇題第 118 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,電話,.\src\sign-OX.files\image119,"法規選擇題第 119 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,修理站,.\src\sign-OX.files\image120,"法規選擇題第 120 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,渡口,.\src\sign-OX.files\image121,"法規選擇題第 121 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,專行汽車,.\src\sign-OX.files\image122,"法規選擇題第 122 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,右轉方向,.\src\sign-OX.files\image123,"法規選擇題第 123 題,分類02|轉彎(左右轉、迴轉)"
X,左轉方向,.\src\sign-OX.files\image124,"法規選擇題第 124 題,分類02|轉彎(左右轉、迴轉)"
○,左右轉方向,.\src\sign-OX.files\image125,"法規選擇題第 125 題,分類02|轉彎(左右轉、迴轉)"
X,雙向道,.\src\sign-OX.files\image126,"法規選擇題第 126 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,餐旅服務,.\src\sign-OX.files\image127,"法規選擇題第 127 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,加油站,.\src\sign-OX.files\image128,"法規選擇題第 128 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,人行地下道,.\src\sign-OX.files\image129,"法規選擇題第 129 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,人行天橋,.\src\sign-OX.files\image130,"法規選擇題第 130 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,加油站,.\src\sign-OX.files\image131,"法規選擇題第 131 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,餐旅服務,.\src\sign-OX.files\image132,"法規選擇題第 132 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,左道封閉,.\src\sign-OX.files\image133,"法規選擇題第 133 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,右道封閉,.\src\sign-OX.files\image134,"法規選擇題第 134 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,右道封閉,.\src\sign-OX.files\image135,"法規選擇題第 135 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,左道封閉,.\src\sign-OX.files\image136,"法規選擇題第 136 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,道路施工,.\src\sign-OX.files\image137,"法規選擇題第 137 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,當心行人,.\src\sign-OX.files\image138,"法規選擇題第 138 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,車輛改道,.\src\sign-OX.files\image139,"法規選擇題第 139 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,岔路,.\src\sign-OX.files\image140,"法規選擇題第 140 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,指示改道方向,.\src\sign-OX.files\image141,"法規選擇題第 141 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,單行道,.\src\sign-OX.files\image142,"法規選擇題第 142 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,道路封閉,.\src\sign-OX.files\image143,"法規選擇題第 143 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,道路施工,.\src\sign-OX.files\image144,"法規選擇題第 144 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,圖中黃色雙實線為：雙向禁止超車線,.\src\sign-OX.files\image145,"法規選擇題第 145 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,圖中黃色雙實線為：單向禁止超車線,.\src\sign-OX.files\image146,"法規選擇題第 146 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,圖中黃色單實線配合黃色虛線為：單向禁止超車線,.\src\sign-OX.files\image147,"法規選擇題第 147 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,圖中黃色單實線配合黃色虛線為：雙向禁止超車線,.\src\sign-OX.files\image148,"法規選擇題第 148 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,圖中白色雙實線為：禁止變換車道線,.\src\sign-OX.files\image149,"法規選擇題第 149 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,圖中白色雙實線為：行車分向線,.\src\sign-OX.files\image150,"法規選擇題第 150 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,圖中黃色實線為：禁止停車線,.\src\sign-OX.files\image151,"法規選擇題第 151 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,圖中黃色實線為：禁止臨時停車線,.\src\sign-OX.files\image152,"法規選擇題第 152 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,圖中紅色實線為：禁止臨時停車線,.\src\sign-OX.files\image153,"法規選擇題第 153 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,圖中紅色實線為：禁止停車線,.\src\sign-OX.files\image154,"法規選擇題第 154 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,圖中黃色虛線為：行車分向線,.\src\sign-OX.files\image155,"法規選擇題第 155 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,圖中黃色虛線為：分向限制線,.\src\sign-OX.files\image156,"法規選擇題第 156 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,圖中白色虛線為：車道線,.\src\sign-OX.files\image157,"法規選擇題第 157 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,圖中白色虛線為：行車分向線,.\src\sign-OX.files\image158,"法規選擇題第 158 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,圖中橫向白色實線為：停止線,.\src\sign-OX.files\image159,"法規選擇題第 159 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,圖中橫向白色實線為：讓路線,.\src\sign-OX.files\image160,"法規選擇題第 160 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,圖中白色斜紋線為：斑馬紋行人穿越道,.\src\sign-OX.files\image161,"法規選擇題第 161 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,圖中白色斜紋線為：枕木紋行人穿越道,.\src\sign-OX.files\image162,"法規選擇題第 162 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,指向線,.\src\sign-OX.files\image163,"法規選擇題第 163 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,行車分向線,.\src\sign-OX.files\image164,"法規選擇題第 164 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,圖中白色紋線為：枕木紋行人穿越道線,.\src\sign-OX.files\image165,"法規選擇題第 165 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,圖中白色紋線為：斑馬紋行人穿越道線,.\src\sign-OX.files\image166,"法規選擇題第 166 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,圖中黃色雙實線為：分向限制線,.\src\sign-OX.files\image167,"法規選擇題第 167 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,圖中黃色雙實線為：行車分向線,.\src\sign-OX.files\image168,"法規選擇題第 168 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,路寬變更線,.\src\sign-OX.files\image169,"法規選擇題第 169 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,狹路變更線,.\src\sign-OX.files\image170,"法規選擇題第 170 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,近障礙物線,.\src\sign-OX.files\image171,"法規選擇題第 171 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,圖中黃色標線為單向禁止超車線。,.\src\sign-OX.files\image172,"法規選擇題第 172 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,近鐵路平交道線,.\src\sign-OX.files\image173,"法規選擇題第 173 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,讓路線,.\src\sign-OX.files\image174,"法規選擇題第 174 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,圖中白色倒三角型標線為：讓路線,.\src\sign-OX.files\image175,"法規選擇題第 175 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,圖中白色倒三角型標線為：指向線,.\src\sign-OX.files\image176,"法規選擇題第 176 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,圖中網狀線，用以告示車輛駕駛人在本標線範圍內禁止臨時停車,.\src\sign-OX.files\image177,"法規選擇題第 177 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,圖中網狀線，用以告示車輛駕駛人在本標線範圍內可以臨時停車,.\src\sign-OX.files\image178,"法規選擇題第 178 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,車輛停放線,.\src\sign-OX.files\image179,"法規選擇題第 179 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,停止線,.\src\sign-OX.files\image180,"法規選擇題第 180 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,圖中白色虛線為：轉彎線,.\src\sign-OX.files\image181,"法規選擇題第 181 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,圖中白色虛線為：槽化線,.\src\sign-OX.files\image182,"法規選擇題第 182 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,全部車輛停止,.\src\sign-OX.files\image183,"法規選擇題第 183 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,前面來車停止,.\src\sign-OX.files\image184,"法規選擇題第 184 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,右面來車左轉彎,.\src\sign-OX.files\image185,"法規選擇題第 185 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,左面來車右轉彎,.\src\sign-OX.files\image186,"法規選擇題第 186 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,右面來車停止,.\src\sign-OX.files\image187,"法規選擇題第 187 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,左面來車停止,.\src\sign-OX.files\image188,"法規選擇題第 188 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,左面來車左轉彎,.\src\sign-OX.files\image189,"法規選擇題第 189 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,右面來車左轉彎,.\src\sign-OX.files\image190,"法規選擇題第 190 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,左面來車停止,.\src\sign-OX.files\image191,"法規選擇題第 191 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,右面來車停止,.\src\sign-OX.files\image192,"法規選擇題第 192 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,前後來車停止，左右來車通行,.\src\sign-OX.files\image193,"法規選擇題第 193 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,全部車輛停止,.\src\sign-OX.files\image194,"法規選擇題第 194 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,右面來車速行,.\src\sign-OX.files\image195,"法規選擇題第 195 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,左面來車速行,.\src\sign-OX.files\image196,"法規選擇題第 196 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,前面來車停止,.\src\sign-OX.files\image197,"法規選擇題第 197 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
